category,company,date_posted,desc,link,location,title
Technical Lead,Shortlist ,19th Jun 2019,"About Shortlist:Shortlist is a recruitment technology startup operating primarily in Kenya and India, working with the aim of building great teams for organizations. The Shortlist team has created a novel product which helps companies source and screen high and mid-level talent, cutting through…",https://ihub.co.ke/jobs/view/4758/lead-data-scientist,"Nairobi, KE",Lead Data Scientist
Other,InterIntel Technologies Limited ,19th Jun 2019,"Company Description:InterIntel is a Software Development company with its forte around FinTech, InsurTech as well as custom solutions.This covers different faucets, from mobile channels (Mobile Apps, SMS, USSD), Web Channels, Progressive Web Applications (PWAs) Payments Integrations, from…",https://ihub.co.ke/jobs/view/4756/business-analyst-opportunity,"Nairobi, KE",Business Analyst Opportunity
Other,BitPesa Limited ,18th Jun 2019,We are passionate technologists who believe in making a difference to the lives of those living in emerging markets. We aim to change the landscape of finance and remittance.The BitPesa development team is a group of engineers from around the world that have the ability to work together to solve…,https://ihub.co.ke/jobs/view/4754/operations-engineer,"Nairobi, KE",Operations Engineer
Other,BitPesa Limited ,18th Jun 2019,We are passionate technologists who believe in making a difference to the lives of those living in emerging markets. We aim to change the landscape of finance and remittance.The BitPesa development team is a group of engineers from around the world that have the ability to work together to solve…,https://ihub.co.ke/jobs/view/4755/ruby-platform-engineer,"Nairobi, KE",Ruby Platform Engineer
Developer,Plugin Africa Ltd ,15th Jun 2019,"Senior AngularJS/Angular and native DeveloperBranch: IT & Services, Software-DevelopmentWorkplace: Mombasa. KenyaEmployment Type: ContractWork experience: minimum 8+ years in software development in teamsRequirements: English…",https://ihub.co.ke/jobs/view/4752/senior-angularjs-angular-and-native-developer,"Ukunda, KE",Senior AngularJS/Angular and native Developer
Developer,Plugin Africa Ltd (Software Recruitment Agency) ,23rd Nov 2018,"Senior AngularJS/Angular Developer (with migration experience)Branch: IT & Services, Software-DevelopmentWorkplace: Mombasa. KenyaEmployment Type: ContractWork experience: minimum 8+ years in software development in teamsRequirements: English…",https://ihub.co.ke/jobs/view/4561/senior-angularjs-angular-developer-with-migration-experience,"Mombasa, KE",Senior AngularJS/Angular Developer (with migration experience)
Developer,PayGo Energy ,4th Jun 2019,"PayGo Energy are looking for a software engineer to join our product-focussed, agile team to help develop and support live services in a rapidly-growing startup.…",https://ihub.co.ke/jobs/view/4747/build-great-software-fast,"Nairobi, KE","Build Great Software, Fast"
Developer,Plugin Africa Ltd ,6th May 2019,"Dept: IT & Services, Software-DevelopmentWorkplace: Mombasa. KenyaEmployment Type: ContractWork experience: 6+ years in software development in teamsResponsibilities- Architecting and building features in their entirety Code using Ruby on Rails,…",https://ihub.co.ke/jobs/view/4716/senior-ruby-on-rails-developer-with-backbone-js-experience-min-6years,"Ukunda, KE",Senior Ruby on Rails Developer with Backbone JS experience (Min…
Developer,Ajira Connect Limited ,15th Apr 2019,"Work as part of the company’s core development team, creating features and optimizing existing functionality.Deploy code on a daily basis.Create high performing and scalable solutions.Taking initiative and working independently.Follow-through from…",https://ihub.co.ke/jobs/view/4695/experienced-mobile-software-developer,"Nairobi, KE",Experienced Mobile Software Developer
Designer,Incentro ,14th Feb 2019,"Vacancy: designer (ICT sector)Great opportunity for someone with entrepreneurial spirit who likes to develop his/her career in an international ICT setting in a Kenyan office.Location: Nairobi, KenyaWork experience: 2-5 yearsQualifications: relevant Bachelor's degree…",https://ihub.co.ke/jobs/view/4632/designer-ict-sector,"Nairobi, KE",designer (ICT sector)
Sales,Incentro ,12th Feb 2019,"Vacancy: Technical Sales ConsultantGreat opportunity for someone with entrepreneurial spirit who likes to develop his/her career in an international ICT setting in a Kenyan office.Location: Nairobi, KenyaWork experience: 5 + yearsQualifications: relevant Bachelor's…",https://ihub.co.ke/jobs/view/4624/technical-sales-consultant,"Nairobi, KE",Technical Sales Consultant
Developer,Touch Inspiration ,14th Jan 2019,"We areTouch Inspiration, a developer-owned and runshoplocated in Nairobi, Kenya. We work hard and we love what we do! Please check us out at https://touchinspiration.com, to get a feel of who we are and what we do.2019 is already proving to be an exciting and challenging year…",https://ihub.co.ke/jobs/view/4589/do-you-know-javascript-do-you-understand-redux-do-you-nodejs,"Nairobi, KE",Do you know Javascript? Do you understand Redux? Do you NodeJS?
Designer,InterIntel Technologies Limited ,25th Aug 2017,"Company Description:InterIntel Technologies is an IT company based in Nairobi with an array of services ranging from software development, payment aggregations on mobile, web and applications , loyalty programs, premium rate service provision(IVR, SMS, USSD) among others.Our forte is…",https://ihub.co.ke/jobs/view/4097/front-end-developer,"Nairobi, KE",Front End Developer
Technical Lead,IMPACT - ACTED ,5th Dec 2018,Supervisor: IMPACT Country CoordinatorTitle:  Database Manager…,https://ihub.co.ke/jobs/view/4570/technical-lead-on-database-development-database-manager-as-per-organizational-grid,"Nairobi - with travel in the Horn, KE",Technical Lead on Database Development (DATABASE MANAGER as per…
Developer,Tulaa Technology Services ,19th Sep 2018,"Summary of RoleTulaa is an exciting tech start-up that is disrupting the agriculture sector across Africa. We build and deploy technology to level the playing field for buyers and sellers by lowering the cost and risk of transacting with smallholder farmers. Through our platform, farmers can…",https://ihub.co.ke/jobs/view/4511/devops-engineer,"Nairobi, KE",DevOps Engineer
Developer,ONA Kenya ,28th Aug 2018,"At Ona, we don't just strive for diversity, we thrive on it. For Ona, diversity has been a spring board for creativity, innovation, and growth. We are committed to giving equal opportunities to employees and applicants regardless of their race, religion, gender, sexual orientation, colour,…",https://ihub.co.ke/jobs/view/4494/software-engineer-android-java,"Nairobi, KE",Software engineer - Android/Java
developer,Amref Health Africa ,10th Dec 2016,"BACKGROUNDAmref Health Africa is the largest indigenous health development nongovernmental organisation based inthe gap that prevents people from accessing their basic right to health. With headquarters in Kenya, Amref hasEmploying over 1000 staff and with an annual operating budget of…",https://ihub.co.ke/jobs/view/2451/mobile-app-developer,"Nairobi, Kenya",Mobile App Developer
developer,Amref Health Africa ,10th Dec 2016,"BACKGROUNDAmref Health Africa is the largest indigenous health development nongovernmental organisation based inthe gap that prevents people from accessing their basic right to health. With headquarters in Kenya, Amref hasEmploying over 1000 staff and with an annual operating budget of…",https://ihub.co.ke/jobs/view/1088/mobile-app-developer,"Nairobi, Kenya",Mobile App Developer
